metapath	dwpc_auroc	pdwpc_auroc	rdwpc_auroc	nonzero	pdwpc_primary_auroc	delta_auroc	pval_delta_auroc
C<hpCduftD	0.50034	0.49996	0.50038	0.00013473	0.5	0.00034061	9.2617e-08
C<hpCduftDduftCduftD	0.50029	0.5	0.50029	0.00020209	0.50002	0.00027346	0.00021131
C<hpChp>CduftD<soD	0.49996	0.5	0.49996	6.7363e-05	0.5	-4.2102e-05	0
C<hpCsdiCduftD	0.50017	0.5	0.50017	6.7363e-05	0.5	0.00016841	0
C<hpCsdiCsdiCduftD	0.50029	0.49996	0.50034	0.00020209	0.49999	0.00030332	3.8203e-06
CduftD<soD	0.53488	0.5032	0.53178	0.015965	0.50031	0.034566	3.7568e-09
CduftD<soD<soD	0.50897	0.50566	0.50341	0.0051869	0.49986	0.009107	5.0236e-07
CduftD<soD<soD<soD	0.50867	0.50155	0.50753	0.0049848	0.5001	0.0085751	5.2631e-07
CduftD<soD<soDso>D	0.51196	0.50752	0.50552	0.0068036	0.50108	0.010884	4.8171e-06
CduftD<soDduftCduftD	0.6073	0.63098	0.5286	0.065881	0.52625	0.08105	4.8617e-07
CduftD<soDgaGgaD	0.50383	0.51202	0.49376	0.0039744	0.50312	0.00071027	0.26958
CduftD<soDso>D	0.51065	0.50315	0.50816	0.0058606	0.50045	0.010204	1.2782e-05
CduftD<soDso>D<soD	0.53564	0.51791	0.52033	0.024655	0.50262	0.033018	1.5115e-07
CduftD<soDso>Dso>D	0.51166	0.50626	0.50661	0.0072752	0.50117	0.010489	4.976e-07
CduftDduftC<hpCduftD	0.50135	0.50198	0.49937	0.0005389	0.50021	0.0011398	0.0062989
CduftDduftCduftD	0.82804	0.76269	0.79249	0.18814	0.5907	0.23734	8.42e-09
CduftDduftCduftD<soD	0.57851	0.5632	0.53957	0.061165	0.50404	0.074465	4.2083e-06
CduftDduftCduftDso>D	0.54678	0.53929	0.52026	0.038868	0.50571	0.041069	1.2945e-05
CduftDduftChp>CduftD	0.50135	0.50223	0.49912	0.0005389	0.50021	0.0011397	0.0053596
CduftDduftCsdiCduftD	0.56047	0.74307	0.34932	0.093836	0.57439	-0.01392	0.0062576
CduftDgaGgaD	0.51215	0.53671	0.48435	0.016302	0.51066	0.0014886	0.3193
CduftDgaGgaD<soD	0.50614	0.51412	0.49216	0.0097002	0.50121	0.0049307	0.0064429
CduftDgaGgaDso>D	0.50113	0.51215	0.48984	0.0082856	0.50176	-0.0006382	0.39362
CduftDso>D	0.52629	0.50424	0.52297	0.012529	0.50035	0.025939	3.0548e-08
CduftDso>D<soD	0.61272	0.5182	0.60223	0.058942	0.50151	0.11121	6.3751e-09
CduftDso>D<soD<soD	0.56145	0.51904	0.54899	0.039138	0.5018	0.059653	8.6325e-08
