hetnet	feature	nonzero	auroc	auprc	feature_type	permuted
wikidata-v0.1	prior_prob	1	0.83713	0.60146	prior	0
wikidata-v0.1_perm-1	prior_prob	1	0.80119	0.32222	prior	1
wikidata-v0.1_perm-2	prior_prob	1	0.80123	0.32842	prior	1
wikidata-v0.1_perm-3	prior_prob	1	0.80312	0.32124	prior	1
wikidata-v0.1_perm-4	prior_prob	1	0.80146	0.32001	prior	1
wikidata-v0.1_perm-5	prior_prob	1	0.80144	0.32228	prior	1
wikidata-v0.1	CduftD	1	0.70765	0.39484	degree	0
wikidata-v0.1_perm-1	CduftD	1	0.68601	0.20377	degree	1
wikidata-v0.1_perm-2	CduftD	1	0.68644	0.20441	degree	1
wikidata-v0.1_perm-3	CduftD	1	0.68636	0.20496	degree	1
wikidata-v0.1_perm-4	CduftD	1	0.68542	0.2023	degree	1
wikidata-v0.1_perm-5	CduftD	1	0.68539	0.2029	degree	1
wikidata-v0.1	CpiwP	0.36315	0.49797	0.20167	degree	0
wikidata-v0.1_perm-1	CpiwP	0.36491	0.49694	0.10168	degree	1
wikidata-v0.1_perm-2	CpiwP	0.36137	0.4991	0.10231	degree	1
wikidata-v0.1_perm-3	CpiwP	0.36338	0.49809	0.10231	degree	1
wikidata-v0.1_perm-4	CpiwP	0.36293	0.49816	0.10194	degree	1
wikidata-v0.1_perm-5	CpiwP	0.36163	0.49873	0.10253	degree	1
wikidata-v0.1	CsdiC	0.11916	0.5154	0.22732	degree	0
wikidata-v0.1_perm-1	CsdiC	0.11804	0.51442	0.1175	degree	1
wikidata-v0.1_perm-2	CsdiC	0.12108	0.51262	0.1158	degree	1
wikidata-v0.1_perm-3	CsdiC	0.12097	0.51267	0.11574	degree	1
wikidata-v0.1_perm-4	CsdiC	0.12117	0.51258	0.1155	degree	1
wikidata-v0.1_perm-5	CsdiC	0.1198	0.51346	0.11664	degree	1
wikidata-v0.1	C<hpC	0.0064668	0.49933	0.18351	degree	0
wikidata-v0.1_perm-1	C<hpC	0.0065522	0.49935	0.092423	degree	1
wikidata-v0.1_perm-2	C<hpC	0.0061804	0.49956	0.095005	degree	1
wikidata-v0.1_perm-3	C<hpC	0.005905	0.49971	0.097019	degree	1
wikidata-v0.1_perm-4	C<hpC	0.0064492	0.49941	0.093077	degree	1
wikidata-v0.1_perm-5	C<hpC	0.0059149	0.49971	0.097109	degree	1
wikidata-v0.1	C<ioC	0.0027619	0.49869	0.1245	degree	0
wikidata-v0.1_perm-1	C<ioC	0.0022182	0.49914	0.066186	degree	1
wikidata-v0.1_perm-2	C<ioC	0.0022536	0.49912	0.065982	degree	1
wikidata-v0.1_perm-3	C<ioC	0.0022187	0.49914	0.066198	degree	1
wikidata-v0.1_perm-4	C<ioC	0.0019109	0.49931	0.068652	degree	1
wikidata-v0.1_perm-5	C<ioC	0.0024617	0.49901	0.064786	degree	1
wikidata-v0.1	Chp>C	0.0093634	0.50174	0.23312	degree	0
wikidata-v0.1_perm-1	Chp>C	0.0085657	0.50199	0.12573	degree	1
wikidata-v0.1_perm-2	Chp>C	0.0092877	0.50159	0.11998	degree	1
wikidata-v0.1_perm-3	Chp>C	0.010069	0.50116	0.11488	degree	1
wikidata-v0.1_perm-4	Chp>C	0.0091108	0.50169	0.12129	degree	1
wikidata-v0.1_perm-5	Chp>C	0.0096075	0.50141	0.11801	degree	1
wikidata-v0.1	Cio>C	0.0022903	0.49983	0.18904	degree	0
wikidata-v0.1_perm-1	Cio>C	0.0022523	0.49987	0.097023	degree	1
wikidata-v0.1_perm-2	Cio>C	0.0020146	0.5	0.10245	degree	1
wikidata-v0.1_perm-3	Cio>C	0.0021163	0.49995	0.099966	degree	1
wikidata-v0.1_perm-4	Cio>C	0.0020474	0.49999	0.10156	degree	1
wikidata-v0.1_perm-5	Cio>C	0.002154	0.49993	0.099283	degree	1
wikidata-v0.1	DduftC	1	0.78824	0.51249	degree	0
wikidata-v0.1_perm-1	DduftC	1	0.75902	0.27412	degree	1
wikidata-v0.1_perm-2	DduftC	1	0.75922	0.27271	degree	1
wikidata-v0.1_perm-3	DduftC	1	0.75983	0.27525	degree	1
wikidata-v0.1_perm-4	DduftC	1	0.75938	0.27473	degree	1
wikidata-v0.1_perm-5	DduftC	1	0.76015	0.27464	degree	1
wikidata-v0.1	DgaG	0.19077	0.56548	0.28641	degree	0
wikidata-v0.1_perm-1	DgaG	0.18903	0.55914	0.14673	degree	1
wikidata-v0.1_perm-2	DgaG	0.18589	0.56103	0.14928	degree	1
wikidata-v0.1_perm-3	DgaG	0.18644	0.56082	0.14951	degree	1
wikidata-v0.1_perm-4	DgaG	0.18491	0.56159	0.14989	degree	1
wikidata-v0.1_perm-5	DgaG	0.18781	0.56001	0.14883	degree	1
wikidata-v0.1	D<soD	0.56733	0.54633	0.22048	degree	0
wikidata-v0.1_perm-1	D<soD	0.56803	0.54059	0.11189	degree	1
wikidata-v0.1_perm-2	D<soD	0.5643	0.54376	0.11328	degree	1
wikidata-v0.1_perm-3	D<soD	0.56589	0.54101	0.1119	degree	1
wikidata-v0.1_perm-4	D<soD	0.565	0.54273	0.1126	degree	1
wikidata-v0.1_perm-5	D<soD	0.56571	0.54209	0.11253	degree	1
wikidata-v0.1	Dso>D	0.95891	0.51786	0.20112	degree	0
wikidata-v0.1_perm-1	Dso>D	0.95901	0.51547	0.1028	degree	1
wikidata-v0.1_perm-2	Dso>D	0.95865	0.51589	0.1028	degree	1
wikidata-v0.1_perm-3	Dso>D	0.95962	0.5152	0.10247	degree	1
wikidata-v0.1_perm-4	Dso>D	0.95933	0.51778	0.10407	degree	1
wikidata-v0.1_perm-5	Dso>D	0.9588	0.51644	0.10319	degree	1
wikidata-v0.1	C<hpC<hpC<hpCduftD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpC<hpC<hpCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpC<hpC<hpCduftD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpC<hpC<hpCduftD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpC<hpC<hpCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpC<hpC<hpCduftD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpC<hpC<ioCduftD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpC<hpC<ioCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpC<hpC<ioCduftD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpC<hpC<ioCduftD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpC<hpC<ioCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpC<hpC<ioCduftD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpC<hpCduftD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpC<hpCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpC<hpCduftD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpC<hpCduftD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpC<hpCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpC<hpCduftD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpC<hpCduftD<soD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpC<hpCduftD<soD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpC<hpCduftD<soD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpC<hpCduftD<soD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpC<hpCduftD<soD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpC<hpCduftD<soD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpC<hpCduftDso>D	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpC<hpCduftDso>D	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpC<hpCduftDso>D	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpC<hpCduftDso>D	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpC<hpCduftDso>D	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpC<hpCduftDso>D	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpC<hpChp>CduftD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpC<hpChp>CduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpC<hpChp>CduftD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpC<hpChp>CduftD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpC<hpChp>CduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpC<hpChp>CduftD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpC<hpCio>CduftD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpC<hpCio>CduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpC<hpCio>CduftD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpC<hpCio>CduftD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpC<hpCio>CduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpC<hpCio>CduftD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpC<hpCsdiCduftD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpC<hpCsdiCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpC<hpCsdiCduftD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpC<hpCsdiCduftD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpC<hpCsdiCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpC<hpCsdiCduftD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpC<ioC<hpCduftD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpC<ioC<hpCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpC<ioC<hpCduftD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpC<ioC<hpCduftD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpC<ioC<hpCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpC<ioC<hpCduftD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpC<ioC<ioCduftD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpC<ioC<ioCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpC<ioC<ioCduftD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpC<ioC<ioCduftD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpC<ioC<ioCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpC<ioC<ioCduftD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpC<ioCduftD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpC<ioCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpC<ioCduftD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpC<ioCduftD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpC<ioCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpC<ioCduftD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpC<ioCduftD<soD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpC<ioCduftD<soD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpC<ioCduftD<soD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpC<ioCduftD<soD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpC<ioCduftD<soD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpC<ioCduftD<soD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpC<ioCduftDso>D	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpC<ioCduftDso>D	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpC<ioCduftDso>D	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpC<ioCduftDso>D	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpC<ioCduftDso>D	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpC<ioCduftDso>D	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpC<ioChp>CduftD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpC<ioChp>CduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpC<ioChp>CduftD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpC<ioChp>CduftD	0	0.5	0.55067	dwpc	1
