feature	feature_type	nonzero	auroc	auroc_permuted	delta_auroc	pval_auroc	fdr_pval_auroc
prior_prob	prior	1	0.83713	0.80169	0.035449	6.5404e-08	
CduftD	degree	1	0.70765	0.68592	0.02173	6.8889e-08	
CpiwP	degree	0.36315	0.49797	0.4982	-0.00022966	0.5652	
CsdiC	degree	0.11916	0.5154	0.51315	0.0022496	0.0032478	
C<hpC	degree	0.0064668	0.49933	0.49955	-0.00022007	0.041076	
C<ioC	degree	0.0027619	0.49869	0.49914	-0.00044883	0.00078683	
Chp>C	degree	0.0093634	0.50174	0.50157	0.00017199	0.28402	
Cio>C	degree	0.0022903	0.49983	0.49995	-0.00011498	0.007824	
DduftC	degree	1	0.78824	0.75952	0.028718	1.6441e-08	
DgaG	degree	0.19077	0.56548	0.56052	0.00496	0.00031658	
D<soD	degree	0.56733	0.54633	0.54204	0.0042974	0.0017097	
Dso>D	degree	0.95891	0.51786	0.51616	0.0017042	0.020392	
C<hpC<hpC<hpCduftD	dwpc	0	0.5	0.5	0		
C<hpC<hpC<ioCduftD	dwpc	0	0.5	0.5	0		
C<hpC<hpCduftD	dwpc	0	0.5	0.5	0		
C<hpC<hpCduftD<soD	dwpc	0	0.5	0.5	0		
C<hpC<hpCduftDso>D	dwpc	0	0.5	0.5	0		
C<hpC<hpChp>CduftD	dwpc	0	0.5	0.5	0		
C<hpC<hpCio>CduftD	dwpc	0	0.5	0.5	0		
C<hpC<hpCsdiCduftD	dwpc	0	0.5	0.5	0		
C<hpC<ioC<hpCduftD	dwpc	0	0.5	0.5	0		
C<hpC<ioC<ioCduftD	dwpc	0	0.5	0.5	0		
C<hpC<ioCduftD	dwpc	0	0.5	0.5	0		
C<hpC<ioCduftD<soD	dwpc	0	0.5	0.5	0		
C<hpC<ioCduftDso>D	dwpc	0	0.5	0.5	0		
C<hpC<ioChp>CduftD	dwpc	0	0.5	0.5	0		
C<hpC<ioCio>CduftD	dwpc	0	0.5	0.5	0		
C<hpC<ioCsdiCduftD	dwpc	0	0.5	0.5	0		
C<hpCduftD	dwpc	0.00013473	0.50034	0.5	0.00034061	9.2617e-08	
C<hpCduftD<soD	dwpc	0	0.5	0.5	0		
C<hpCduftD<soD<soD	dwpc	0	0.5	0.5	0		
C<hpCduftD<soDso>D	dwpc	0	0.5	0.5	3.7974e-06	0.3739	
C<hpCduftDduftCduftD	dwpc	0.00020209	0.50029	0.50002	0.00027346	0.00021131	
C<hpCduftDgaGgaD	dwpc	0	0.5	0.49999	7.5947e-06	0.3739	
C<hpCduftDso>D	dwpc	0	0.5	0.5	3.7974e-06	0.3739	
C<hpCduftDso>D<soD	dwpc	0	0.5	0.5	0		
C<hpCduftDso>Dso>D	dwpc	0	0.5	0.5	0		
C<hpChp>C<hpCduftD	dwpc	0	0.5	0.50007	-7.4442e-05	0.34941	
C<hpChp>C<ioCduftD	dwpc	0	0.5	0.5	0		
C<hpChp>CduftD	dwpc	0	0.5	0.5	0		
C<hpChp>CduftD<soD	dwpc	6.7363e-05	0.49996	0.5	-4.2102e-05	0	
C<hpChp>CduftDso>D	dwpc	0	0.5	0.5	0		
C<hpChp>Chp>CduftD	dwpc	0	0.5	0.5	0		
C<hpChp>Cio>CduftD	dwpc	0	0.5	0.5	0		
C<hpChp>CsdiCduftD	dwpc	0	0.5	0.5	0		
C<hpCio>C<hpCduftD	dwpc	0	0.5	0.5	0		
C<hpCio>C<ioCduftD	dwpc	0	0.5	0.5	0		
C<hpCio>CduftD	dwpc	0	0.5	0.5	0		
C<hpCio>CduftD<soD	dwpc	0	0.5	0.5	0		
C<hpCio>CduftDso>D	dwpc	0	0.5	0.5	0		
C<hpCio>Chp>CduftD	dwpc	0	0.5	0.5	0		
C<hpCio>Cio>CduftD	dwpc	0	0.5	0.5	0		
C<hpCio>CsdiCduftD	dwpc	0	0.5	0.5	0		
C<hpCpiwPeGgaD	dwpc	0	0.5	0.5	0		
C<hpCpiwPpiwCduftD	dwpc	0	0.5	0.5	3.7974e-06	0.3739	
C<hpCsdiC<hpCduftD	dwpc	0	0.5	0.5	0		
C<hpCsdiC<ioCduftD	dwpc	0	0.5	0.5	0		
C<hpCsdiCduftD	dwpc	6.7363e-05	0.50017	0.5	0.00016841	0	
C<hpCsdiCduftD<soD	dwpc	0	0.5	0.5	3.7974e-06	0.3739	
C<hpCsdiCduftDso>D	dwpc	0	0.5	0.5	3.7974e-06	0.3739	
C<hpCsdiChp>CduftD	dwpc	0	0.5	0.5	0		
C<hpCsdiCio>CduftD	dwpc	0	0.5	0.5	0		
C<hpCsdiCsdiCduftD	dwpc	0.00020209	0.50029	0.49999	0.00030332	3.8203e-06	
C<ioC<hpC<hpCduftD	dwpc	0	0.5	0.5	0		
C<ioC<hpC<ioCduftD	dwpc	0	0.5	0.5	0		
C<ioC<hpCduftD	dwpc	0	0.5	0.5	0		
C<ioC<hpCduftD<soD	dwpc	0	0.5	0.5	0		
C<ioC<hpCduftDso>D	dwpc	0	0.5	0.5	0		
C<ioC<hpChp>CduftD	dwpc	0	0.5	0.5	0		
C<ioC<hpCio>CduftD	dwpc	0	0.5	0.5	0		
