compound_id	CduftD	CpiwP	CsdiC	C<hpC	C<ioC	Chp>C	Cio>C
Q1002165	0	1	0	0	0	0	0
Q1014287	0	0	0	0	0	1	0
Q1025288	0	0	0	0	0	1	0
Q1025477	0	0	0	0	0	1	0
Q1026348	0	0	0	0	0	1	0
Q1026374	0	0	0	0	0	1	0
Q102769	0	0	0	0	0	2	0
Q1032320	0	0	0	0	0	1	0
Q1032486	0	0	0	0	0	1	0
Q1032896	0	0	0	0	0	1	0
Q10354103	3	1	37	0	0	0	0
Q10357327	0	2	0	0	0	0	0
Q10369545	0	0	0	0	0	1	0
Q10382411	0	1	0	0	0	0	0
Q10395585	0	0	0	0	1	0	0
Q1041804	0	1	0	0	0	0	0
Q1046	0	0	0	75	0	0	0
Q1048621	0	0	0	0	0	1	0
Q1050019	3	0	0	0	0	0	0
Q1052672	7	0	0	0	0	0	0
Q1053	0	0	0	83	0	0	0
Q10564319	0	0	0	0	0	1	0
Q1056827	0	0	0	0	0	1	0
Q1060922	2	5	0	0	0	0	0
Q1063862	4	0	0	0	0	0	0
Q1074056	8	1	0	0	0	0	0
Q1075324	0	1	0	0	0	0	0
Q1078392	4	0	0	0	0	0	0
Q108200	0	0	0	0	8	0	0
Q1082945	7	0	0	0	0	0	0
Q1086	0	0	0	30	0	0	0
Q10860583	1	0	0	0	0	0	0
Q10861098	0	4	0	0	0	0	0
Q10863992	0	0	0	0	0	1	0
Q1087	0	0	0	72	0	0	0
Q1087499	6	0	0	0	0	0	0
Q1089	0	0	0	70	0	0	0
Q1089194	0	0	0	0	0	1	0
Q1089197	0	0	0	0	0	1	0
Q1091	0	0	0	63	0	0	0
Q10910387	0	1	0	0	0	0	0
Q1091256	0	0	0	0	0	1	0
Q10925139	0	0	0	0	0	1	0
Q10925175	0	0	0	0	0	1	0
Q1092934	0	0	0	0	0	1	0
Q1094	0	0	0	47	0	0	0
Q1096	0	0	0	78	0	0	0
Q1096761	0	0	0	0	0	1	0
Q1099	0	0	0	82	0	0	0
Q1100	0	0	0	103	0	0	0
Q1102	0	0	0	45	0	0	0
Q1105	0	0	0	91	0	0	0
Q1106	0	0	0	8	0	0	0
Q1108	0	0	0	42	0	0	0
Q1109	0	0	0	37	0	0	0
Q1112	0	0	0	71	0	0	0
Q1117888	3	0	0	0	0	0	0
Q1119	0	0	0	21	0	0	0
Q1122870	1	0	0	0	0	0	0
Q1123	0	0	0	27	0	0	0
Q1128	0	0	0	7	0	0	0
Q1133	0	0	0	1	0	0	0
Q1135705	2	0	11	0	0	0	0
Q11426176	11	2	0	0	0	0	0
Q1146640	0	0	0	1	0	0	0
Q1149099	3	5	0	0	0	0	0
Q115740	0	0	0	0	0	1	0
Q11595687	0	0	0	1	0	0	1
Q116073	0	0	0	0	0	1	0
Q116269	0	0	0	0	0	1	0
Q1169164	4	0	0	0	0	0	0
Q1169561	4	1	0	0	0	0	0
Q11711607	0	1	0	0	0	0	0
Q1175385	2	0	0	0	0	0	0
Q1185089	0	2	0	0	0	0	0
Q118551	9	0	43	0	0	0	0
Q1188290	8	0	0	0	0	0	0
Q1188583	0	0	0	0	0	1	0
Q12029435	2	0	0	0	0	0	0
Q12062335	0	1	0	0	0	0	0
Q12064249	0	4	0	0	0	0	0
Q1207210	1	1	5	0	0	0	0
Q12127712	0	1	0	0	0	0	0
Q121430	0	0	0	0	0	1	0
Q1215575	7	2	1	0	0	0	0
Q12159611	0	5	0	0	0	0	0
Q12161794	0	3	0	0	0	0	0
Q1236526	1	0	0	0	0	0	0
Q1240076	2	0	0	0	0	0	0
Q1240093	3	2	0	0	0	0	0
Q1243800	3	0	0	0	0	0	0
Q125083	0	2	0	0	0	0	0
Q1259458	0	1	0	0	0	0	0
Q1269328	0	0	0	0	0	1	0
Q127060	2	0	0	0	0	0	0
Q12745201	0	3	0	0	0	0	0
Q12745583	0	1	0	0	0	0	0
Q12745763	0	1	0	0	0	0	0
Q12745785	0	1	0	0	0	0	0
Q12746116	0	3	0	0	0	0	0
Q12746295	0	3	0	0	0	0	0
Q12747053	0	1	0	0	0	0	0
Q12747348	0	1	0	0	0	0	0
Q12747409	0	1	0	0	0	0	0
Q1279263	0	0	0	0	0	1	0
Q1281020	0	4	0	0	0	0	0
Q1284687	0	0	0	0	0	1	0
Q129163	0	0	0	0	0	1	0
Q13026783	2	0	0	0	0	0	0
Q130365	1	0	0	0	0	0	0
Q1306078	0	0	0	0	0	1	0
Q1311179	0	0	0	0	0	0	1
Q1313546	0	0	0	0	0	1	0
Q1316937	0	0	0	0	0	1	0
Q1317131	0	1	0	0	0	0	0
Q1320691	1	0	0	0	0	0	0
Q132298	0	0	0	1	0	0	0
Q132428	0	0	0	0	0	1	0
Q132501	2	0	0	0	0	0	0
Q132621	4	5	0	0	0	0	0
Q13415380	0	3	0	0	0	0	0
Q1344375	0	0	0	0	0	1	0
Q134583	1	0	0	0	0	0	0
Q134658	2	3	0	0	0	0	0
Q13566097	0	1	0	0	0	0	0
Q13574436	0	1	0	0	0	0	0
Q1361951	0	0	0	0	0	1	0
Q1377105	0	0	0	0	0	1	0
Q1385	0	0	0	8	0	0	0
Q1385311	0	0	6	0	0	0	0
Q1386050	0	1	0	0	0	0	0
Q1388	0	0	0	68	0	0	0
Q13896593	0	0	0	0	0	1	0
Q139195	3	1	0	0	0	0	0
Q139200	2	0	0	0	0	0	0
Q139307	1	0	0	0	0	0	0
Q139347	10	0	0	0	0	0	0
Q1396	0	0	0	37	0	0	0
Q14035670	0	1	0	0	0	0	0
Q1427742	0	1	0	0	0	0	0
Q143200	0	0	0	0	0	1	0
Q144085	5	7	37	0	0	0	0
Q1452045	0	0	0	0	0	1	0
Q1452256	0	3	0	0	0	0	0
Q1453445	7	0	0	0	0	0	0
Q14664567	0	1	0	0	0	0	0
Q147101	4	0	0	0	0	0	0
Q14762162	0	0	0	0	0	1	0
Q14773521	0	0	0	0	0	1	0
Q1485208	0	0	0	0	0	0	1
Q14956810	0	0	0	0	0	1	0
Q14965231	0	0	0	0	0	1	0
Q15023366	0	0	0	0	0	3	0
Q15040821	0	0	0	0	0	1	0
Q15053666	0	1	0	0	0	0	0
Q15069049	0	0	0	0	0	1	0
Q15116137	0	0	0	0	0	1	0
Q15118238	0	0	0	0	0	1	0
Q15124168	0	3	0	0	0	0	0
Q15149723	0	9	0	0	0	0	0
Q15211075	7	0	0	0	0	0	0
Q15222640	0	0	0	0	0	0	1
Q15222645	0	0	0	0	0	0	1
Q1523448	0	0	0	0	0	1	0
Q15239768	0	9	0	0	0	0	0
Q15269707	0	2	0	0	0	0	0
Q15274561	0	1	0	0	0	0	0
Q152763	4	0	0	0	0	0	0
Q15295638	1	0	0	0	0	0	0
Q1530103	0	0	0	0	0	1	0
Q15304877	0	1	0	0	0	0	0
Q15366704	2	0	0	0	0	0	0
Q15366934	0	1	0	0	0	0	0
Q15408417	0	1	0	0	0	0	0
Q15409358	0	2	0	0	0	0	0
Q15409372	0	7	0	0	0	0	0
Q15409374	0	7	0	0	0	0	0
Q15409398	0	1	0	0	0	0	0
Q15409438	0	1	0	0	0	0	0
Q15410183	0	2	0	0	0	0	0
Q15410184	0	2	0	0	0	0	0
Q15410189	0	3	0	0	0	0	0
Q15410190	0	4	0	0	0	0	0
Q15410220	0	0	0	0	0	0	1
Q15410300	0	1	0	0	0	0	0
Q15410874	0	1	0	0	0	0	0
Q15410878	0	1	0	0	0	0	0
Q1541465	0	0	0	0	0	1	0
Q15425297	0	1	0	0	0	0	0
Q15425778	0	0	0	0	0	1	0
Q15425781	0	0	0	0	0	1	0
Q15425812	0	1	0	0	0	0	0
Q15425819	0	0	0	0	0	2	0
Q15426200	0	0	0	0	0	1	0
Q15426668	0	1	0	0	0	0	0
Q15427850	0	1	0	0	0	0	0
Q15427858	0	1	0	0	0	0	0
Q15502367	0	0	0	0	0	0	1
Q15502373	0	0	0	0	0	0	1
Q155472	2	1	0	0	0	0	0
Q155682	0	1	0	0	0	0	0
Q155683	1	1	0	0	0	0	0
Q155685	2	0	0	0	0	0	0
Q155744	0	1	0	0	0	0	0
Q155746	1	1	0	0	0	0	0
Q155954	2	0	0	0	0	0	0
Q15605490	0	0	0	0	0	0	1
Q15605495	0	0	0	0	0	0	1
Q15605498	0	0	0	0	0	0	1
Q15617477	0	0	0	0	0	2	0
Q15627472	0	0	0	0	0	1	0
Q15627913	0	0	0	0	0	1	0
Q15627914	0	0	0	0	0	1	0
Q15627915	0	0	0	0	0	1	0
Q15627919	0	0	0	0	0	1	0
Q15627930	0	0	0	0	0	1	0
Q15627932	0	0	0	0	0	1	0
Q15627936	0	0	0	0	0	1	0
Q15627941	0	0	0	0	0	1	0
Q15627942	0	0	0	0	0	1	0
Q15627943	0	0	0	0	0	2	0
Q15627944	0	0	0	0	0	1	0
Q15627945	0	0	0	0	0	1	0
Q15627946	0	0	0	0	0	2	0
Q15627947	0	0	0	0	0	1	0
Q15627949	0	0	0	0	0	2	0
Q15627951	0	0	0	0	0	2	0
Q15627952	0	0	0	0	0	1	0
Q15627953	0	0	0	0	0	1	0
Q15627954	0	0	0	0	0	1	0
Q15627955	0	0	0	0	0	1	0
Q15627956	0	0	0	0	0	1	0
Q15627957	0	0	0	0	0	1	0
Q15627958	0	0	0	0	0	1	0
Q15627960	0	0	0	0	0	1	0
Q15627961	0	0	0	0	0	1	0
Q15627962	0	0	0	0	0	1	0
Q15627963	0	0	0	0	0	1	0
Q15627964	0	0	0	0	0	1	0
Q15627965	0	0	0	0	0	1	0
Q15627966	0	0	0	0	0	1	0
Q15627967	0	0	0	0	0	1	0
Q15627970	0	0	0	0	0	1	0
Q15627971	0	0	0	0	0	1	0
Q15627972	0	0	0	0	0	1	0
Q15627973	0	0	0	0	0	1	0
Q15627974	0	0	0	0	0	1	0
Q15627975	0	0	0	0	0	2	0
Q15627976	0	0	0	0	0	1	0
Q15627977	0	0	0	0	0	2	0
Q15627978	0	0	0	0	0	1	0
Q15627979	0	0	0	0	0	1	0
Q15627980	0	0	0	0	0	1	0
Q15627981	0	0	0	0	0	1	0
Q15627982	0	0	0	0	0	1	0
Q15627983	0	0	0	0	0	1	0
Q15627984	0	0	0	0	0	1	0
Q15627985	0	0	0	0	0	1	0
Q15627987	0	0	0	0	0	1	0
Q15627989	0	0	0	0	0	1	0
Q15627993	0	0	0	0	0	1	0
Q15627994	0	0	0	0	0	1	0
Q15627996	0	0	0	0	0	1	0
Q15627998	0	0	0	0	0	2	0
Q15628000	0	0	0	0	0	1	0
Q15628005	0	0	0	0	0	1	0
Q15628007	0	0	0	0	0	1	0
Q15628025	0	0	0	0	0	1	0
Q15628030	0	0	0	0	0	1	0
Q15628032	0	0	0	0	0	1	0
Q15628034	0	0	0	0	0	1	0
Q15628035	0	0	0	0	0	1	0
Q15628037	0	0	0	0	0	1	0
Q15628038	0	0	0	0	0	1	0
Q15628039	0	0	0	0	0	1	0
Q15628041	0	0	0	0	0	1	0
Q15628042	0	0	0	0	0	1	0
Q15628043	0	0	0	0	0	1	0
Q15628044	0	0	0	0	0	1	0
Q15628046	0	0	0	0	0	1	0
Q15628047	0	0	0	0	0	2	0
Q15628049	0	0	0	0	0	2	0
Q15628050	0	0	0	0	0	2	0
Q15628051	0	0	0	0	0	2	0
Q15628052	0	0	0	0	0	2	0
Q15628053	0	0	0	0	0	1	0
Q15628054	0	0	0	0	0	1	0
Q15628055	0	0	0	0	0	1	0
Q15628069	0	0	0	0	0	1	0
Q15628070	0	0	0	0	0	1	0
Q15628077	0	0	0	0	0	2	0
Q15628079	0	0	0	0	0	2	0
Q15628080	0	0	0	0	0	2	0
Q15628081	0	0	0	0	0	1	0
Q15628082	0	0	0	0	0	1	0
Q15628083	0	0	0	0	0	1	0
Q15628084	0	0	0	0	0	1	0
Q15628085	0	0	0	0	0	1	0
Q15628086	0	0	0	0	0	2	0
Q15628087	0	0	0	0	0	1	0
Q15628091	0	0	0	0	0	1	0
Q15628096	0	0	0	0	0	1	0
Q15628098	0	0	0	0	0	1	0
Q15628105	0	0	0	0	0	1	0
Q15628106	0	0	0	0	0	1	0
Q15628115	0	0	0	0	0	1	0
Q15628116	0	0	0	0	0	1	0
Q15628117	0	0	0	0	0	1	0
Q15628118	0	0	0	0	0	1	0
Q15628119	0	0	0	0	0	1	0
Q15628124	0	0	0	0	0	1	0
Q15628126	0	0	0	0	0	1	0
Q15628129	0	0	0	0	0	1	0
Q15628130	0	0	0	0	0	1	0
Q15628140	0	0	0	0	0	1	0
Q15628147	0	0	0	0	0	1	0
Q15628164	0	0	0	0	0	1	0
Q15628165	0	0	0	0	0	1	0
Q15628166	0	0	0	0	0	1	0
Q15628168	0	0	0	0	0	1	0
Q15628176	0	0	0	0	0	0	1
Q15628178	0	0	0	0	0	1	0
Q15628179	0	0	0	0	0	1	0
Q15628180	0	0	0	0	0	1	0
Q15628182	0	0	0	0	0	1	0
Q15628183	0	0	0	0	0	1	0
Q15628184	0	0	0	0	0	1	0
Q15628185	0	0	0	0	0	1	0
Q15628186	0	0	0	0	0	1	0
