disease_id	DduftC	DgaG	D<soD	Dso>D
Q1002195	0	0	0	1
Q1004647	1	0	0	4
Q1016605	1	0	0	1
Q1017169	0	0	0	1
Q1018652	0	0	0	1
Q101896	25	0	2	2
Q1019940	0	0	0	2
Q1022718	0	0	0	1
Q1023604	0	0	0	1
Q1026326	0	0	0	1
Q10264745	0	0	0	1
Q1027995	0	0	2	1
Q1031536	0	0	0	1
Q103177	0	0	0	1
Q1034620	0	0	0	1
Q1034736	0	0	0	1
Q1035319	0	0	0	1
Q1035645	0	0	28	1
Q10376449	0	0	0	1
Q1041258	0	0	0	1
Q10434599	0	0	0	1
Q1044007	0	0	0	2
Q1044327	0	0	0	1
Q1047559	0	0	6	2
Q1048084	2	0	0	2
Q1048101	0	0	0	1
Q1048858	0	0	2	0
Q1049021	0	0	2	1
Q1049655	0	0	1	1
Q1049881	0	0	4	1
Q1051223	0	0	0	1
Q1051355	0	0	0	1
Q1051436	0	0	0	2
Q1052391	0	0	0	1
Q1052626	0	0	0	2
Q1052687	0	0	12	2
Q10529545	0	0	0	2
Q1053120	0	0	0	1
Q1053824	5	0	0	2
Q1053948	0	2	0	1
Q105434	0	0	0	1
Q1054713	0	0	0	2
Q1054718	1	12	37	1
Q1055374	0	0	0	1
Q1058608	0	0	1	2
Q1058691	0	0	4	1
Q1060310	0	0	0	1
Q1063085	0	0	0	1
Q10647237	0	0	0	1
Q1066011	0	0	0	1
Q1066061	1	0	3	2
Q1066265	0	0	0	1
Q1066311	0	0	3	1
Q1068997	0	0	2	1
Q1072290	0	0	0	1
Q1072420	2	9	0	2
Q1072716	0	0	0	1
Q1075470	0	0	1	1
Q1075923	0	0	4	1
Q1076053	0	0	0	1
Q1076060	0	0	3	1
Q1076078	0	0	3	1
Q1076086	0	0	0	1
Q1076087	0	0	9	1
Q1076389	0	0	3	1
Q1076421	0	0	1	1
Q1076481	3	0	8	1
Q1077139	0	0	3	1
Q1077505	0	0	0	2
Q1077603	1	0	7	1
Q1077955	0	0	0	2
Q10832211	2	0	1	1
Q1084600	0	0	0	1
Q10859678	0	0	0	1
Q10860654	0	0	7	3
Q10863066	0	0	0	2
Q10863074	0	13	0	1
Q1087232	0	0	0	1
Q10874	0	0	1	1
Q1087811	0	0	0	1
Q1088030	0	0	0	4
Q1088042	0	0	0	1
Q1088156	9	13	5	2
Q1088163	0	0	4	1
Q1093815	0	0	0	1
Q1097302	0	0	1	0
Q1097490	0	0	0	1
Q1097957	3	0	0	1
Q1101694	0	0	1	1
Q1102300	2	0	0	1
Q11039483	2	0	0	0
Q1106881	0	0	0	2
Q11072	0	0	4	1
Q11081	0	86	17	1
Q11085	13	26	7	1
Q11088	0	22	0	2
Q1110590	0	0	0	1
Q1112977	0	0	0	1
Q1114480	0	0	0	2
Q1117652	0	0	0	2
Q1120682	0	0	0	1
Q1122485	2	0	0	1
Q1122668	0	0	3	1
Q112412	0	0	3	1
Q1124606	0	0	1	1
Q1125121	0	0	3	1
Q1125160	1	0	0	1
Q1125675	0	0	3	1
Q112670	1	0	2	1
Q1126831	1	2	1	1
Q1126839	0	0	0	1
Q1127417	0	0	0	1
Q1127727	0	0	0	1
Q1128440	7	0	0	1
Q1128595	5	0	2	1
Q1129007	1	0	1	1
Q1129046	0	0	0	1
Q1130519	0	0	5	1
Q11312280	0	0	0	2
Q1131786	0	0	3	1
Q1132056	0	0	0	1
Q1132108	0	1	0	1
Q1132120	4	0	0	1
Q1132959	0	0	0	1
Q1133289	0	0	0	1
Q1134891	0	0	0	1
Q1135124	0	0	2	0
Q1135338	0	0	0	1
