feature	feature_type	unperm_mean	unperm_sd
prior_prob	prior	0.008933	0.020257
CduftD	degree	3.3667	3.1916
CpiwP	degree	0.98168	2.0749
CsdiC	degree	1.7163	7.1901
C<hpC	degree	0.15069	4.1697
C<ioC	degree	0.010374	0.22303
Chp>C	degree	0.011923	0.13001
Cio>C	degree	0.0022903	0.047804
DduftC	degree	7.088	11.644
DgaG	degree	3.3865	18.903
D<soD	degree	3.7854	8.2926
Dso>D	degree	1.2325	0.57614
C<hpC<hpC<hpCduftD	dwpc	0	0
C<hpC<hpC<ioCduftD	dwpc	0	0
C<hpC<hpCduftD	dwpc	0	0
C<hpC<hpCduftD<soD	dwpc	0	0
C<hpC<hpCduftDso>D	dwpc	0	0
C<hpC<hpChp>CduftD	dwpc	0	0
C<hpC<hpCio>CduftD	dwpc	0	0
C<hpC<hpCsdiCduftD	dwpc	0	0
C<hpC<ioC<hpCduftD	dwpc	0	0
C<hpC<ioC<ioCduftD	dwpc	0	0
C<hpC<ioCduftD	dwpc	0	0
C<hpC<ioCduftD<soD	dwpc	0	0
C<hpC<ioCduftDso>D	dwpc	0	0
C<hpC<ioChp>CduftD	dwpc	0	0
C<hpC<ioCio>CduftD	dwpc	0	0
C<hpC<ioCsdiCduftD	dwpc	0	0
C<hpCduftD	dwpc	3.1991e-05	0.002801
C<hpCduftD<soD	dwpc	0	0
C<hpCduftD<soD<soD	dwpc	0	0
C<hpCduftD<soDso>D	dwpc	0	0
C<hpCduftDduftCduftD	dwpc	1.0187e-05	0.00084552
C<hpCduftDgaGgaD	dwpc	0	0
C<hpCduftDso>D	dwpc	0	0
C<hpCduftDso>D<soD	dwpc	0	0
C<hpCduftDso>Dso>D	dwpc	0	0
C<hpChp>C<hpCduftD	dwpc	0	0
C<hpChp>C<ioCduftD	dwpc	0	0
C<hpChp>CduftD	dwpc	0	0
C<hpChp>CduftD<soD	dwpc	3.0526e-07	3.7193e-05
C<hpChp>CduftDso>D	dwpc	0	0
C<hpChp>Chp>CduftD	dwpc	0	0
C<hpChp>Cio>CduftD	dwpc	0	0
C<hpChp>CsdiCduftD	dwpc	0	0
C<hpCio>C<hpCduftD	dwpc	0	0
C<hpCio>C<ioCduftD	dwpc	0	0
C<hpCio>CduftD	dwpc	0	0
C<hpCio>CduftD<soD	dwpc	0	0
C<hpCio>CduftDso>D	dwpc	0	0
C<hpCio>Chp>CduftD	dwpc	0	0
C<hpCio>Cio>CduftD	dwpc	0	0
C<hpCio>CsdiCduftD	dwpc	0	0
C<hpCpiwPeGgaD	dwpc	0	0
C<hpCpiwPpiwCduftD	dwpc	0	0
C<hpCsdiC<hpCduftD	dwpc	0	0
C<hpCsdiC<ioCduftD	dwpc	0	0
C<hpCsdiCduftD	dwpc	1.2576e-06	0.00015322
C<hpCsdiCduftD<soD	dwpc	0	0
C<hpCsdiCduftDso>D	dwpc	0	0
C<hpCsdiChp>CduftD	dwpc	0	0
C<hpCsdiCio>CduftD	dwpc	0	0
C<hpCsdiCsdiCduftD	dwpc	1.1504e-05	0.00098759
C<ioC<hpC<hpCduftD	dwpc	0	0
C<ioC<hpC<ioCduftD	dwpc	0	0
C<ioC<hpCduftD	dwpc	0	0
C<ioC<hpCduftD<soD	dwpc	0	0
C<ioC<hpCduftDso>D	dwpc	0	0
C<ioC<hpChp>CduftD	dwpc	0	0
C<ioC<hpCio>CduftD	dwpc	0	0
C<ioC<hpCsdiCduftD	dwpc	0	0
C<ioC<ioC<hpCduftD	dwpc	0	0
