abbreviation	length	midpoint_index	optimal_join_index	sequential_complexity
C<hpCduftD	2	1	0	-0.7092470393344651
C<ioCduftD	2	1	0	-2.1169759410632025
CduftD<soD	2	1	0	-0.3524045210808391
CduftDso>D	2	1	0	-0.3524045210808391
Chp>CduftD	2	1	0	-0.7092470393344651
Cio>CduftD	2	1	0	-2.1169759410632025
CsdiCduftD	2	1	0	-0.7446183398048062
C<hpC<hpCduftD	3	1	0	-0.9739139677534105
C<hpC<ioCduftD	3	1	0	-2.3816428694821483
C<hpCduftD<soD	3	1	0	-0.6170714494997845
C<hpCduftDso>D	3	1	0	-0.6170714494997845
C<hpChp>CduftD	3	1	0	-0.9739139677534105
C<hpCio>CduftD	3	1	0	-2.3816428694821483
C<hpCsdiCduftD	3	1	0	-1.0092852682237519
C<ioC<hpCduftD	3	1	0	-2.3816428694821483
C<ioC<ioCduftD	3	1	0	-3.789371771210886
C<ioCduftD<soD	3	1	0	-2.024800351228522
C<ioCduftDso>D	3	1	0	-2.024800351228522
C<ioChp>CduftD	3	1	0	-2.3816428694821483
C<ioCio>CduftD	3	1	0	-3.789371771210886
C<ioCsdiCduftD	3	1	0	-2.4170141699524894
CduftD<soD<soD	3	1	0	-0.2602289312461586
CduftD<soDso>D	3	1	0	-0.2602289312461586
CduftDduftCduftD	3	1	0	-1.0574288029366128
CduftDgaGgaD	3	1	0	-2.0037103209442675
CduftDso>D<soD	3	1	0	-0.2602289312461586
CduftDso>Dso>D	3	1	0	-0.2602289312461586
Chp>C<hpCduftD	3	1	0	-0.9739139677534105
Chp>C<ioCduftD	3	1	0	-2.3816428694821483
Chp>CduftD<soD	3	1	0	-0.6170714494997845
Chp>CduftDso>D	3	1	0	-0.6170714494997845
Chp>Chp>CduftD	3	1	0	-0.9739139677534105
Chp>Cio>CduftD	3	1	0	-2.3816428694821483
Chp>CsdiCduftD	3	1	0	-1.0092852682237519
Cio>C<hpCduftD	3	1	0	-2.3816428694821483
Cio>C<ioCduftD	3	1	0	-3.789371771210886
Cio>CduftD<soD	3	1	0	-2.024800351228522
Cio>CduftDso>D	3	1	0	-2.024800351228522
Cio>Chp>CduftD	3	1	0	-2.3816428694821483
Cio>Cio>CduftD	3	1	0	-3.789371771210886
Cio>CsdiCduftD	3	1	0	-2.4170141699524894
CpiwPeGgaD	3	1	0	-1.3337786964756577
CpiwPpiwCduftD	3	1	0	-1.382719343418115
CsdiC<hpCduftD	3	1	0	-1.0092852682237519
CsdiC<ioCduftD	3	1	0	-2.4170141699524894
CsdiCduftD<soD	3	1	0	-0.6524427499701257
CsdiCduftDso>D	3	1	0	-0.6524427499701257
CsdiChp>CduftD	3	1	0	-1.0092852682237519
CsdiCio>CduftD	3	1	0	-2.4170141699524894
CsdiCsdiCduftD	3	1	0	-1.044656568694093
