compound_treats	disease_treats	prior_perm	prior_perm_stderr	n_treatments	n_possible
1	1	0.000329173	6.89755e-08	35	87966
1	2	0.000659161	1.55722e-07	24	35114
1	3	0.000990074	2.30897e-07	18	23892
1	4	0.00132252	3.45357e-07	23	14480
1	5	0.00165592	4.72663e-07	17	9774
1	6	0.00198984	5.06005e-07	23	10136
1	7	0.00232489	6.49208e-07	13	7240
1	8	0.00265991	6.93206e-07	19	7240
1	9	0.00299957	1.11075e-06	7	3258
1	10	0.00333503	1.05412e-06	13	3982
1	11	0.00367467	2.6377e-06	1	724
1	12	0.00401401	1.72764e-06	10	1810
1	13	0.00435696	1.7975e-06	14	1810
1	14	0.00469921	1.37722e-06	12	3258
1	15	0.00504518	1.7578e-06	11	2172
1	16	0.00538334	2.23506e-06	11	1448
1	17	0.00572803	1.60674e-06	14	2896
1	18	0.00607751	3.37586e-06	3	724
1	19	0.00642232	2.8222e-06	4	1086
1	20	0.00677214	2.5006e-06	8	1448
1	21	0.00711935	5.17729e-06	3	362
1	22	0.00747565	3.73103e-06	4	724
1	24	0.00818042	5.53765e-06	1	362
1	25	0.00852835	5.64728e-06	2	362
1	26	0.00887787	5.76517e-06	3	362
1	27	0.00923627	4.13825e-06	5	724
1	34	0.0117535	4.64346e-06	7	724
1	38	0.0132109	7.00187e-06	6	362
1	39	0.0135838	7.09334e-06	7	362
1	50	0.0176786	8.06314e-06	10	362
1	55	0.0196053	8.48357e-06	5	362
1	57	0.020366	8.60763e-06	11	362
1	61	0.0219241	8.92839e-06	8	362
1	82	0.030382	1.04337e-05	10	362
2	1	0.000661901	1.166e-07	39	58806
2	2	0.00132567	2.63318e-07	31	23474
2	3	0.00199062	3.90679e-07	33	15972
2	4	0.0026563	5.84413e-07	29	9680
2	5	0.00332486	7.98141e-07	16	6534
2	6	0.00399345	8.55105e-07	32	6776
2	7	0.00466598	1.09615e-06	18	4840
2	8	0.00533833	1.16905e-06	27	4840
2	9	0.00601116	1.87548e-06	10	2178
2	10	0.00668889	1.77878e-06	20	2662
2	11	0.00737524	4.44325e-06	3	484
2	12	0.00804719	2.91911e-06	7	1210
2	13	0.0087305	3.03561e-06	7	1210
2	14	0.00940699	2.32215e-06	18	2178
2	15	0.0100875	2.96822e-06	12	1452
2	16	0.0107734	3.76084e-06	9	968
2	17	0.011463	2.7125e-06	23	1936
2	18	0.0121471	5.67095e-06	6	484
2	19	0.0128437	4.75399e-06	16	726
2	20	0.013533	4.20512e-06	10	968
2	21	0.0142309	8.69561e-06	7	242
2	22	0.0149155	6.27535e-06	9	484
2	24	0.0162971	9.29442e-06	4	242
2	25	0.0170198	9.47685e-06	5	242
2	26	0.0177199	9.69648e-06	7	242
2	27	0.0184208	6.9444e-06	11	484
2	34	0.0233684	7.76593e-06	11	484
2	38	0.0262209	1.17038e-05	3	242
2	39	0.0269357	1.18533e-05	4	242
2	50	0.0349659	1.34253e-05	8	242
2	55	0.0386807	1.40708e-05	14	242
2	57	0.0401249	1.43278e-05	12	242
2	61	0.043158	1.48085e-05	10	242
2	82	0.059238	1.71271e-05	13	242
3	1	0.00099819	1.89328e-07	35	34506
3	2	0.00199855	4.27126e-07	26	13774
3	3	0.00300037	6.33637e-07	33	9372
3	4	0.00400402	9.45525e-07	17	5680
3	5	0.00500843	1.2935e-06	30	3834
3	6	0.00601561	1.38377e-06	21	3976
3	7	0.00702528	1.77624e-06	22	2840
3	8	0.00803479	1.8919e-06	27	2840
3	9	0.00904867	3.03603e-06	9	1278
3	10	0.0100515	2.87595e-06	14	1562
3	11	0.011076	7.18444e-06	5	284
3	12	0.012084	4.70725e-06	7	710
3	13	0.0131004	4.89882e-06	10	710
3	14	0.0141324	3.75034e-06	17	1278
3	15	0.0151433	4.79153e-06	11	852
3	16	0.0161818	6.09055e-06	9	568
3	17	0.0171983	4.38157e-06	15	1136
3	18	0.0182245	9.16851e-06	5	284
3	19	0.0192461	7.65997e-06	11	426
3	20	0.0202795	6.77796e-06	12	568
3	21	0.0212705	1.40112e-05	1	142
3	22	0.0223484	1.01307e-05	5	284
3	24	0.0244071	1.50002e-05	2	142
3	25	0.0254416	1.52856e-05	3	142
3	26	0.0265079	1.55882e-05	5	142
3	27	0.0274937	1.11779e-05	10	284
3	34	0.0348286	1.24911e-05	12	284
3	38	0.0390111	1.8776e-05	5	142
3	39	0.0401139	1.90297e-05	5	142
3	50	0.051822	2.14672e-05	6	142
3	55	0.0571624	2.24819e-05	5	142
3	57	0.0594023	2.28733e-05	8	142
3	61	0.0635763	2.35926e-05	10	142
3	82	0.0867235	2.71926e-05	13	142
4	1	0.00133856	2.68126e-07	25	23328
