compound_id	compound_name	treats	palliates	total_edges
Q161459	(+)-1,2-diaminocyclohexane	0	0	3
Q15222640	(+)-3-carene	0	0	1
Q25366173	(+)-alpha-conhydrine	0	0	1
Q24791131	(+)-alpha-fenchene	0	0	1
Q5002336	(+)-butaclamol	0	0	7
Q413147	(+)-phenylpropanolamine	3	0	3
Q25933668	(+)-α-phellandrene	0	0	1
Q4644282	(+/-)-8-hydroxy-2-(di-N-propylamino)tetralin	0	0	10
Q3322838	(+/-)-benzphetamine	1	0	6
Q5548658	(+/-)-gepefrine	0	0	1
Q18206601	(+/-)-hydroxybupropion	0	0	1
Q24791135	(-)-alpha-fenchene	0	0	1
Q15222645	(-)-car-3-ene	0	0	1
Q3011024	(-)-chiro-inositol	0	0	1
Q407418	(-)-menthol	1	0	3
Q415793	(-)-pentazocine	0	0	4
Q23766753	(-)-perillaldehyde	0	0	1
Q25933788	(-)-α-phellandrene	0	0	1
Q24716723	(1E)-1,2-dichloroethylene	0	0	1
Q15605490	(1R,2R)-(-)-cyclohexane-1,2-diamine	0	0	1
Q15605498	(1R,2S)-cyclohexane-1,2-diamine	0	0	1
Q15605495	(1S,2S)-(+)-cyclohexane-1,2-diamine	0	0	1
Q24716849	(1Z)-1,2-dichloroethylene	0	0	1
Q474880	(21R)-argatroban anhydrous	1	0	1
Q15634124	(25R)-cholest-5-ene-3β,26-diol	0	0	3
Q24735900	(2E)-2-octene	0	0	1
Q22051489	(2E)-2-pentene	0	0	1
Q27121163	(2R,4S)-ketoconazole	0	0	1
Q23804965	(2S,3S)-diepoxybutane	0	0	1
Q27120779	(2S,4R)-ketoconazole	0	0	1
Q24736444	(2Z)-2-octene	0	0	1
Q15726033	(2Z)-2-pentene	0	0	1
Q27117099	(3R)-3-isopropenyl-6-oxoheptanoic acid	0	0	1
Q307532	(3S)-3-hydroxy-3-methylglutaryl-CoA	0	0	1
Q27132147	(E)-(-)-α-bergamotene	0	0	1
Q425475	(E)-2,3-dimethylacrylic acid	0	0	1
Q24735790	(E)-2-Octene	0	0	2
Q3231623	(E)-cefprozil anhydrous	5	0	5
Q2439845	(E)-crotamiton	1	0	1
Q19279669	(E)-flumorph	0	0	1
Q10910387	(E)-guggulsterone	0	0	1
Q21971328	(E)-ranitidine	0	0	2
Q15502367	(R)-(+)-1,1'-bi-2-naphthol	0	0	1
Q6139100	(R)-2-pentanol	0	0	1
Q22574124	(R)-3-phenyllactic acid	0	0	1
Q417227	(R)-etiracetam	1	0	1
Q412720	(R)-thioterpineol	0	0	1
Q24757839	(R,S)-lactide	0	0	1
Q27765319	(S)-(+)-3-octanol	0	0	1
Q15502373	(S)-(-)-1,1'-Bi-2-naphthol	0	0	1
Q20680358	(S)-2-pentanol	0	0	1
Q27128592	(S)-timolol hemihydrate	0	0	1
Q420350	(Z)-flupentixol	0	0	4
Q21971331	(Z)-ranitidine	0	0	1
Q4039091	(Z)-γ-bisabolene	0	0	1
Q24715140	(−)-7,7-Dimethyl-2-methylenebicyclo[2.2.1]heptane	0	0	2
Q161292	1,1'-bi-2-naphthol	0	0	2
Q161475	1,2-dichloroethene	0	0	2
Q5103143	1-(3-chlorophenyl)biguanide	0	0	1
Q419405	1-(3-trifluoromethylphenyl)piperazine	0	0	8
Q16856203	1-amino-4-((4-((4-chloro-6-((3-sulfophenyl)amino)-1,3,5-triazin-2-yl)amino)-3-sulfophenyl)amino)-9,10-dihydro-9,10-dioxo-2-anthracenesulfonic acid	0	0	4
Q15409372	1-naphthylpiperazine	0	0	7
Q26220987	1-p-menthene-8-thiol	0	0	1
Q21099593	12-hydroxyheptadecatrienoic acid	0	0	1
Q2823198	12S-HETE	0	0	1
Q422416	17β-estradiol	6	0	11
Q201090	2'-deoxyadenosine triphosphate	0	0	1
Q28334819	2,2′,3,3′,4-pentachlorobiphenyl	0	0	1
Q413719	2,3-xylidine	0	0	2
Q4596780	2,4-Xylidine	0	0	1
Q4353533	2,6-xylidine	0	0	1
Q24755764	2-amino-4-methylpyridine	0	0	1
Q4596857	2-aminoethoxydiphenylborate	0	0	11
Q4596904	2-methyl-5-HT	0	0	5
Q210479	2-pentanol	0	0	2
Q22051121	2-pentene	0	0	2
Q8083976	2-phenylpropylamine	0	0	1
Q4596923	2-pyridineethanamine	0	0	1
Q21099666	20-HETE	0	0	1
Q21099648	3,20-pregnanedione	0	0	2
Q4634089	3,5-dihydroxybenzoic acid	0	0	1
Q410703	3-Iodo-Tyrosine	0	0	1
Q15410220	3-O-methyldopa	0	0	1
Q15425812	3-hydroxydecanoic acid	0	0	1
Q21098993	3-indolepropionic acid	0	0	1
Q4634151	3-iodotyrosine	0	0	2
Q27133171	3-isopropenyl-6-oxoheptanoic acid	0	0	1
Q26828654	3-methylbenzaldehyde	0	0	1
Q27154917	3-octanol	0	0	1
Q10395585	3-phenyllactic acid	0	0	1
Q223068	3-quinuclidinyl-benzilate	0	0	5
Q6460434	4-MPPTS	0	0	1
Q6584634	4-[(1R)-1-aminoethyl]-N-pyridin-4-yl-1-cyclohexanecarboxamide	0	0	4
Q1117888	4-[1-hydroxy-2-(1-phenoxypropan-2-ylamino)propyl]phenol	3	0	3
Q207920	4-hydroxybutanoic acid	0	0	1
Q209251	4-iodo-2,5-dimethoxyphenylisopropylamine	0	0	5
Q4637182	4-methylhistamine	0	0	1
Q3154065	5'-iodoresiniferatoxin	0	0	1
Q5204515	5,7-dichlorokynurenic acid	0	0	6
Q4639557	5-(nonyloxy)-tryptamine	0	0	1
Q4639574	5-benzyloxytryptamine	0	0	1
Q4639580	5-carboxamidotryptamine	0	0	11
Q4653190	5-chloro-N2-(4-(4-(dimethylamino)-1-piperidinyl)-2-methoxyphenyl)-N4-(2-(dimethylphosphinyl)phenyl)-2,4-pyrimidinediamine	0	0	4
Q4352011	5-methoxytryptamine	0	0	9
Q2823230	5S-HETE	0	0	2
Q2823231	5S-HPETE	0	0	1
Q23928166	5α-androstane	0	0	1
Q20707319	6-hydroxymelatonin	0	0	2
Q4652499	6-iodopravadoline	0	0	1
Q4596902	6-methyl-2-(phenylethynyl)pyridine	0	0	2
Q6593984	7-hydroxy-2-(di-N-propylamino)tetralin	0	0	2
Q4642875	7-nitroindazole	0	0	1
Q155744	7α-hydroxycholesterol	0	0	1
Q5280076	8-cyclopentyl-1,3-dipropylxanthine	0	0	4
Q4644273	8-cyclopentyltheophylline	0	0	1
Q12062335	ACET	0	0	1
Q4651471	AFDX384	0	0	5
Q471666	AIDA	0	0	1
Q4652228	AL-37350A	0	0	3
Q4652487	AM-1241	0	0	1
Q15989037	AMP-PNP	0	0	1
Q855474	AS-19	0	0	1
Q2697833	Abatacept	1	0	1
Q307088	Abciximab	1	0	1
Q415602	Acetylide	0	0	1
Q348260	Adalimumab	2	0	2
Q4689286	Aflibercept	2	0	2
Q20801779	Agalsidase beta	1	0	1
Q2573513	Agglutinin	0	0	1
Q20801763	Aldesleukin	6	0	6
Q3609421	Alefacept	1	0	1
Q420164	Alemtuzumab	1	0	1
Q4724257	Alglucerase	2	0	2
Q4063088	Alushtite	0	0	1
Q19595872	Americium(II) bromide	0	0	1
Q19595873	Americium(II) chloride	0	0	1
Q19595874	Americium(II) iodide	0	0	1
Q19595875	Americium(III) bromide	0	0	1
Q19595876	Americium(III) fluoride	0	0	1
Q19595877	Americium(III) iodide	0	0	1
Q19595878	Americium(IV) fluoride	0	0	1
Q415411	Anakinra	1	0	1
Q4759444	Andrographolide	0	0	1
Q4765471	Anistreplase	2	0	2
Q20801759	Antihemophilic Factor	3	0	3
Q420515	Antimony pentasulfide	0	0	1
Q419889	Antimony pentoxide	0	0	1
Q206765	Antimony tetroxide	0	0	1
Q409041	Antimony trisulfide	0	0	1
Q4202672	Antimony(V) iodide	0	0	1
Q4778853	Ap4A	0	0	2
Q3276683	Apiose	0	0	1
Q7739	Arsenic trioxide	0	0	37
Q421534	Asparaginase Erwinia chrysanthemi	2	0	2
Q26272	Atropine	3	0	3
Q21083261	Avelumab	8	0	8
Q4834704	BAY 60-6583	0	0	4
Q4874027	BAYK 8644	0	0	2
Q4835633	BIBP3226	0	0	3
Q4836835	BW723C86	0	0	3
Q4860707	Baricitinib	0	0	2
Q4134910	Barium boride	0	0	1
Q4138814	Barium hypochlorite	0	0	1
Q408892	Barium oxide	0	0	1
Q20979871	Barium tungstate	0	0	1
Q2313188	Becaplermin	1	0	1
Q4882925	Belinostat	0	0	10
Q4337150	Beryllium silicate	0	0	1
Q416128	Beryllium telluride	0	0	1
Q2993328	Beta-endorphin	0	0	2
Q413299	Bevacizumab	3	0	3
Q4917167	Bis(trimethylsilyl)sulfide	0	0	1
Q4917166	Bis(triphenylphosphine)palladium(II) dichloride	0	0	1
Q4919218	Bivalirudin	1	0	1
Q415571	Bleomycin	6	0	6
Q15709005	Botulinum Toxin Type B	1	0	1
Q24745328	Bradykinin	0	0	2
Q901968	Braunschweiger salmiak	0	0	1
Q2512764	Bromopentacarbonylrhenium(I)	0	0	1
Q5009400	CBiPES	0	0	1
Q5009685	CCPA	0	0	4
Q5009995	CDPPB	0	0	1
Q5010994	CGS 15943	0	0	4
Q15634053	CGS8216	0	0	5
Q15410878	CHPG	0	0	1
Q19903833	CID16020046	0	0	1
Q5013583	CP 93129	0	0	1
Q20707282	CP-122288	0	0	2
Q5013587	CP94253	0	0	1
Q5013612	CPCCOEt	0	0	1
Q5014559	CTEP	0	0	1
Q15627961	Cadmium dichlorate	0	0	1
Q15627963	Cadmium phosphate	0	0	1
Q4124798	Caesium tungstate	0	0	1
Q5018826	Calcium Gluceptate	10	0	10
Q907143	Calcium aluminates	0	0	1
Q16533005	Calcium azide	0	0	1
Q2330050	Calcium borate	0	0	1
Q426156	Calcium hypophosphite	0	0	1
Q2631244	Calcium nitride	0	0	1
Q421408	Calcium phosphide	0	0	1
Q416365	Calcium silicate	0	0	2
Q3791889	Calcium silicate hydrate	0	0	1
Q408464	Calcium sulfide	0	0	1
Q4346070	Calcium titanate	0	0	1
Q415909	Capreomycin	1	0	1
Q415588	Carboplatin	11	0	11
Q420875	Caspofungin	1	0	1
Q2602246	Cefotetan	5	0	5
Q808845	Ceftazidime	7	0	7
Q411844	Cerium(IV) oxide	0	0	1
Q416641	Cerium(IV) sulfate	0	0	1
Q412909	Certolizumab pegol	1	0	1
Q1032486	Chlorosilane	0	0	1
Q423809	Chlorprothixene	3	0	3
Q414030	Cladribine	4	0	4
Q422273	Clindamycin	5	0	5
Q5134843	Clocortolone	4	0	4
Q25386465	Cobalt disilicide	0	0	1
Q5138695	Cobalt(II) selenide	0	0	1
Q416650	Cofactor F430	0	0	1
Q899036	Colesevelam	4	0	4
Q3294635	Colestipol	4	0	4
Q418006	Colestyramine	4	0	4
Q20817140	Colistimethate	2	0	2
Q5145911	Collagenase clostridium histolyticum	1	0	1
Q15023366	Copper indium gallium selenide	0	0	3
Q195035	Copper silicide	0	0	1
Q15627472	Copper(II) selenite	0	0	1
Q252251	Cyanocobalamin	4	0	4
Q23905964	D-glucose	0	0	2
Q24757832	D-lactide	0	0	1
Q421239	D-penicillamine	3	0	3
Q20035962	D-proline	0	0	1
Q424905	DADLE	0	0	2
Q5204254	DAMGO	0	0	2
Q5204500	DCG-IV	0	0	4
Q5204539	DCPG	0	0	3
Q4036893	DIDS	0	0	5
Q7318276	DL-3,3',5'-triiodothyronine	0	0	2
Q23570653	DL-3-O-methyldopa	0	0	1
Q12159611	DL-TBOA	0	0	5
Q2587934	DL-dipalmitoylphosphatidylcholine	0	0	1
Q181136	DL-glutamic acid	0	0	1
Q161249	DL-lactic acid	2	0	2
Q421313	DL-lactide	0	0	3
Q1851701	Dalteparin	4	0	4
Q241006	Desmopressin	4	0	4
Q772913	Devarda's alloy	0	0	1
Q3706873	Dibekacin	0	0	1
Q16644081	Dibromosilane	0	0	1
