disease_id	disease_name	treats	palliates	total_edges
Q4596888	2-hydroxyglutaric aciduria	0	0	3
Q3335660	3-M syndrome	0	0	1
Q4634172	3-Methylcrotonyl-CoA carboxylase deficiency	0	0	1
Q2823332	3-Methylglutaconic aciduria type III	0	0	1
Q3598794	3-methylglutaconic aciduria	0	0	8
Q27677578	3-methylglutaconic aciduria type 1	0	0	1
Q27677580	3-methylglutaconic aciduria type 3	0	0	1
Q27677582	3-methylglutaconic aciduria type 4	0	0	1
Q27677576	3-methylglutaconic aciduria type 5	0	0	1
Q27677579	3-methylglutaconic aciduria with cataracts, neurologic involvement and neutropenia	0	0	1
Q27677577	3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome	0	0	1
Q18966097	3MC syndrome	0	0	4
Q6837320	3MC syndrome 1	0	0	1
Q26695327	3MC syndrome 2	0	0	1
Q6744609	3MC syndrome 3	0	0	1
Q21154070	3p- syndrome	0	0	1
Q8042656	46 XX gonadal dysgenesis	0	0	2
Q18554764	46 XY gonadal dysgenesis	0	0	1
Q3508565	ABCD syndrome	0	0	3
Q17002910	ABO hemolytic disease of the newborn	0	0	1
Q18557438	ACTH-secreting pituitary adenoma	0	0	1
Q17010894	ADULT syndrome	0	0	2
Q18553418	AGAT deficiency	0	0	1
Q3435504	AIDS dementia complex	1	0	1
Q18557109	AIDS phobia	0	0	1
Q4651856	AIDS-related lymphoma	0	0	1
Q18553459	ARC syndrome	0	0	1
Q3508561	ATR-16 syndrome	0	0	1
Q300801	Aagenaes syndrome	0	0	1
Q303123	Aarskog syndrome	0	0	1
Q4669671	Abscesses of the periodontium	0	0	1
Q268832	Accelerated phase chronic myelogenous leukemia	1	0	1
Q4673499	Achard syndrome	0	0	1
Q7139586	Achenbach syndrome	0	0	1
Q4673758	Achilles bursitis	0	0	1
Q18967368	Achilles bursitis	0	0	1
Q4674158	Acinar cell carcinoma of the pancreas	0	0	1
Q4674171	Acinic cell carcinoma of the lung	0	0	2
Q16975956	Acquired idiopathic generalized anhidrosis	0	0	2
Q4677911	Acute basophilic leukemia	1	0	2
Q4677914	Acute cerebellar ataxia of childhood	0	0	1
Q4677921	Acute eosinophilic leukemia	1	0	2
Q424258	Acute interstitial pneumonitis	0	0	3
Q4677934	Acute motor axonal neuropathy	0	0	1
Q4677939	Acute myeloid dendritic cell leukemia	0	0	1
Q351708	Adams-Oliver syndrome	0	0	1
Q8282	Addison's disease	2	0	3
Q4682248	Adenomyoepithelioma of the breast	0	0	1
Q837054	Adenovirus infection	0	0	1
Q357067	Adie syndrome	0	0	1
Q357522	Adipsia	0	0	1
Q379054	Adult T-cell leukemia/lymphoma	0	0	1
Q3338664	Adult-onset basal ganglia disease	0	0	1
Q4690011	African histoplasmosis	0	0	1
Q4690019	African iron overload	0	0	1
Q4690047	African tick-bite fever	0	0	1
