compound_id	compound_name	disease_id	disease_name	rel_type
Q413147	(+)-phenylpropanolamine	Q12125	Common cold	drug-used-for-treatment_DduftC
Q413147	(+)-phenylpropanolamine	Q12174	Obesity	drug-used-for-treatment_DduftC
Q413147	(+)-phenylpropanolamine	Q114085	rhinitis	drug-used-for-treatment_DduftC
Q3322838	(+/-)-benzphetamine	Q12174	Obesity	drug-used-for-treatment_DduftC
Q407418	(-)-menthol	Q949302	skin disease	drug-used-for-treatment_DduftC
Q474880	(21R)-argatroban anhydrous	Q585285	thrombocytopenia	drug-used-for-treatment_DduftC
Q3231623	(E)-cefprozil anhydrous	Q19597369	Gram-negative bacterial infection	drug-used-for-treatment_DduftC
Q3231623	(E)-cefprozil anhydrous	Q34879	Staphylococcal infection	drug-used-for-treatment_DduftC
Q3231623	(E)-cefprozil anhydrous	Q223254	otitis media	drug-used-for-treatment_DduftC
Q3231623	(E)-cefprozil anhydrous	Q2085267	pharyngitis	drug-used-for-treatment_DduftC
Q3231623	(E)-cefprozil anhydrous	Q183344	sinusitis	drug-used-for-treatment_DduftC
Q2439845	(E)-crotamiton	Q167178	scabies	drug-used-for-treatment_DduftC
Q417227	(R)-etiracetam	Q7140388	focal epilepsy	drug-used-for-treatment_DduftC
Q422416	17β-estradiol	Q128581	breast cancer	drug-used-for-treatment_DduftC
Q422416	17β-estradiol	Q938107	hypogonadism	drug-used-for-treatment_DduftC
Q422416	17β-estradiol	Q7113244	ovarian disease	drug-used-for-treatment_DduftC
Q422416	17β-estradiol	Q22467774	premature menopause	drug-used-for-treatment_DduftC
Q422416	17β-estradiol	Q647630	premature ovarian failure	drug-used-for-treatment_DduftC
Q422416	17β-estradiol	Q181257	prostate cancer	drug-used-for-treatment_DduftC
Q1117888	4-[1-hydroxy-2-(1-phenoxypropan-2-ylamino)propyl]phenol	Q1053824	Raynaud disease	drug-used-for-treatment_DduftC
Q1117888	4-[1-hydroxy-2-(1-phenoxypropan-2-ylamino)propyl]phenol	Q184559	arteriosclerosis	drug-used-for-treatment_DduftC
Q1117888	4-[1-hydroxy-2-(1-phenoxypropan-2-ylamino)propyl]phenol	Q746001	thromboangiitis obliterans	drug-used-for-treatment_DduftC
Q2697833	Abatacept	Q1472	Crohn's disease	drug-used-for-treatment_DduftC
Q307088	Abciximab	Q2032041	intermediate coronary syndrome	drug-used-for-treatment_DduftC
Q348260	Adalimumab	Q1472	Crohn's disease	drug-used-for-treatment_DduftC
Q348260	Adalimumab	Q187255	rheumatoid arthritis	drug-used-for-treatment_DduftC
Q4689286	Aflibercept	Q1266519	corneal neovascularization	drug-used-for-treatment_DduftC
Q4689286	Aflibercept	Q18554884	retinal vein occlusion	drug-used-for-treatment_DduftC
Q20801779	Agalsidase beta	Q615645	Fabry disease	drug-used-for-treatment_DduftC
Q20801763	Aldesleukin	Q18975905	collecting duct carcinoma	drug-used-for-treatment_DduftC
