doid_id	drugbank_id	disease	drug	category	n_curators	n_resources	compound_id	disease_id
DOID:10652	DB00843	Alzheimer's disease	Donepezil	DM	2	1	Q415081	Q11081
DOID:10652	DB00674	Alzheimer's disease	Galantamine	DM	1	4	Q412690	Q11081
DOID:10652	DB01043	Alzheimer's disease	Memantine	DM	1	3	Q412189	Q11081
DOID:10652	DB00989	Alzheimer's disease	Rivastigmine	DM	1	3	Q411887	Q11081
DOID:10652	DB00245	Alzheimer's disease	Benzatropine	SYM	3	1	Q415026	Q11081
DOID:10652	DB00502	Alzheimer's disease	Haloperidol	SYM	2	1	Q251347	Q11081
DOID:10652	DB01224	Alzheimer's disease	Quetiapine	SYM	2	1	Q408535	Q11081
DOID:10652	DB00268	Alzheimer's disease	Ropinirole	SYM	2	1	Q420590	Q11081
DOID:10652	DB01037	Alzheimer's disease	Selegiline	SYM	2	1	Q402633	Q11081
DOID:10652	DB00810	Alzheimer's disease	Biperiden	NOT	2	1	Q414914	Q11081
DOID:10652	DB00190	Alzheimer's disease	Carbidopa	NOT	3	1	Q414225	Q11081
DOID:10652	DB00413	Alzheimer's disease	Pramipexole	NOT	3	1	Q421304	Q11081
DOID:10652	DB00387	Alzheimer's disease	Procyclidine	NOT	3	1	Q268997	Q11081
DOID:10652	DB00747	Alzheimer's disease	Scopolamine	NOT	3	1	Q337188	Q11081
DOID:10652	DB00313	Alzheimer's disease	Valproic Acid	NOT	3	2	Q240642	Q11081
DOID:10652	DB00163	Alzheimer's disease	Vitamin E	NOT	3	1	Q158348	Q11081
DOID:9206	DB00736	Barrett's esophagus	Esomeprazole	DM	3	1	Q553223	Q808892
DOID:9206	DB00338	Barrett's esophagus	Omeprazole	DM	3	1	Q422210	Q808892
DOID:8778	DB00993	Crohn's disease	Azathioprine	DM	3	1	Q18939	Q1472
DOID:8778	DB01014	Crohn's disease	Balsalazide	DM	3	1	Q347337	Q1472
DOID:8778	DB01033	Crohn's disease	Mercaptopurine	DM	3	1	Q418529	Q1472
DOID:8778	DB00244	Crohn's disease	Mesalazine	DM	3	1	Q412479	Q1472
DOID:8778	DB00635	Crohn's disease	Prednisone	DM	2	1	Q424972	Q1472
DOID:8778	DB00795	Crohn's disease	Sulfasalazine	DM	3	1	Q420035	Q1472
DOID:8778	DB00572	Crohn's disease	Atropine	SYM	2	1	Q26272	Q1472
DOID:8778	DB00424	Crohn's disease	Hyoscyamine	SYM	3	1	Q413762	Q1472
DOID:8778	DB00158	Crohn's disease	Folic Acid	NOT	3	1	Q127060	Q1472
DOID:8778	DB00916	Crohn's disease	Metronidazole	NOT	2	1	Q169569	Q1472
DOID:11119	DB00575	Gilles de la Tourette syndrome	Clonidine	SYM	3	2	Q412221	Q191779
DOID:11119	DB00502	Gilles de la Tourette syndrome	Haloperidol	SYM	2	3	Q251347	Q191779
DOID:11119	DB00657	Gilles de la Tourette syndrome	Mecamylamine	SYM	3	1	Q3332124	Q191779
DOID:11119	DB00334	Gilles de la Tourette syndrome	Olanzapine	SYM	3	1	Q201872	Q191779
DOID:11119	DB01186	Gilles de la Tourette syndrome	Pergolide	SYM	2	1	Q415752	Q191779
DOID:11119	DB00850	Gilles de la Tourette syndrome	Perphenazine	SYM	3	1	Q423520	Q191779
DOID:11119	DB01100	Gilles de la Tourette syndrome	Pimozide	SYM	3	1	Q144085	Q191779
DOID:11119	DB00734	Gilles de la Tourette syndrome	Risperidone	SYM	3	2	Q412443	Q191779
DOID:11119	DB00246	Gilles de la Tourette syndrome	Ziprasidone	SYM	3	2	Q205517	Q191779
DOID:12361	DB00763	Graves' disease	Methimazole	DM	3	2	Q419663	
